BV1N4e7ztEea,2025-08-23,p2,16:50,21:11,晴天,
,,,27:13,31:15,美人鱼,
,,,35:32,40:05,爱你不是两三天,
,,,42:54,47:11,此生不换,
,,,48:07,52:16,忘记时间,
,,,57:59,1:02:13,我的一个道姑朋友,
,,,1:07:56,1:11:57,阿楚姑娘,
,,,1:15:55,1:19:52,有何不可,
,,,1:35:10,1:38:35,遇见,
,,,1:40:35,1:44:28,搁浅,
,,,1:47:10,1:52:21,东风破,
,,,1:55:20,1:59:31,给你一瓶魔法药水,
,,,2:06:44,2:08:26,缘分一道桥,
,,,2:12:47,2:16:50,只对你有感觉,
,,,2:22:01,2:26:00,锦鲤抄,
,,,2:30:53,2:35:26,像鱼,
,,,2:36:34,2:41:21,找自己,
,,,2:43:23,2:47:53,Sincerely,
,,,2:50:06,2:54:38,謎,
,,,2:57:21,3:02:16,以父之名,
,,,3:04:12,3:07:52,百变酒精,
BV1LtYdz7ELx,2025-08-21,p2,1:31:25,1:35:38,爱情讯息,练习版
,,,1:40:09,1:44:09,越来越不懂,
,,,1:45:49,1:48:07,等不来花开,
,,,1:50:18,1:53:42,爱如火,退票
,,,1:57:02,2:01:37,不得不爱,
,,,2:07:42,2:11:41,我的新衣,
,,,2:13:14,2:16:22,POP/STARS,
,,,2:20:51,2:25:16,新地球,
,,,2:26:49,2:30:58,美人鱼,
,,,2:33:21,2:37:03,不死之身,
,,,2:38:58,2:42:40,心墙,
,,,2:45:16,2:48:56,Always Online,
,,,3:00:41,3:04:30,Angel,
BV1dqYzzKEuC,2025-08-16,p2,37:01,41:08,被风吹过的夏天,
,,,43:46,47:10,莫斯科没有眼泪,
,,,50:49,54:34,最长的电影,
,,,1:02:06,1:06:25,就是爱你,
,,,1:09:30,1:13:31,那么骄傲,
,,,1:16:31,1:20:45,不可思议,
,,,1:23:39,1:26:56,宁夏,
,,,1:28:59,1:33:00,菊花爆满山,蚌埠住版
,,,1:38:25,1:43:16,下一个天亮,
,,,1:46:20,1:51:05,发如雪,
,,,1:53:27,1:59:32,那些年,
,,,2:05:04,2:08:29,失眠飞行,
,,,2:10:08,2:14:21,Letting Go,
,,,2:15:20,2:19:38,雨爱,
,,,2:26:26,2:31:25,なきむし。,
,,,2:32:49,2:37:46,暁の車,
,,,2:39:19,2:42:51,アイドル,
,,,2:44:17,2:48:13,こころのたまご,
,,,2:52:06,2:56:02,牵丝戏,
,,,2:57:04,3:01:34,霓虹甜心,高冷版
,,,3:05:14,3:10:47,願い~あの頃のキミへ~,
,,,3:13:29,3:18:18,桜色舞うころ,
,,,3:22:38,3:26:51,First Love,
,,,3:28:56,3:33:26,会呼吸的痛,
BV1chbjzMEku,2025-08-14,p2,1:16:01,1:19:41,东京不太热,
,,,1:27:41,1:32:02,孤单北半球,
,,,1:34:36,1:39:17,光と影のロマン,
,,,1:51:34,1:55:39,园游会,
,,,2:05:17,2:06:06,Dead Manbo,
,,,2:09:25,2:09:56,耄耋A梦,
,,,2:28:59,2:32:56,凑热闹,
,,,2:42:26,2:46:47,简单爱,
BV1AttYzHEeP,2025-08-09,p3,44:10,47:45,五块钱的伞,
,,,50:05,54:15,可愛くなりたい,
,,,1:01:48,1:05:52,我的秘密,
,,,1:23:47,1:27:37,Love Yourself,
,,,1:33:53,1:37:50,爱上你,
,,,1:42:18,1:46:49,下一个天亮,
,,,1:48:52,1:52:34,远走高飞,
,,,1:58:00,2:02:12,飞云之下,
,,,2:07:39,2:12:30,你的答案,
,,p4,09:56,13:29,Honey,
,,,17:38,21:18,劈你的雷正在路上,
,,,23:18,26:15,如果月亮会说话,
,,,29:26,33:16,雨天,
,,,33:44,38:05,尚好的青春,
,,,42:13,46:29,再见深海,
,,,49:22,54:25,归途有风,
,,,55:27,59:30,天若有情,
BV1wHhPzCE8P,2025-08-02,p2,35:04,39:11,第一天,
,,,42:20,46:06,讲真的,
,,,48:41,52:43,浪漫爱,
,,,1:40:52,1:44:11,淋雨一直走,
,,,1:48:32,1:52:22,只对你有感觉,
,,,1:54:01,1:57:14,猪之歌,
,,,1:59:03,2:02:31,最美的期待,
,,,2:03:33,2:07:42,约定,
,,,2:15:48,2:19:30,悲伤的秋千,
,,,2:21:28,2:25:09,花田错,不熟版
,,,2:26:17,2:28:54,麦恩莉,半首 练习版
,,,2:31:38,2:34:53,爱爱爱,
,,,2:36:08,2:40:16,普通朋友,
,,,2:42:29,2:46:48,Melody,小拉版
,,,2:50:39,2:55:05,想你时风起,练习版
,,,2:55:36,2:58:32,珠玉,练习版
,,,3:03:33,3:06:36,Rubia,
,,,3:10:24,3:13:58,倒数,
BV1eu8mz2ELw,2025-07-31,p2,29:33,33:39,恋爱告急,
,,,35:00,39:40,霓虹甜心,
,,,49:22,53:19,万有引力,
,,,58:48,1:01:53,爱的魔法,
,,,1:04:44,1:07:52,跟我在一起,
,,,1:09:53,1:13:25,爱你,
,,,2:42:40,2:46:38,我不需要每一个人都爱我,
,,,3:55:51,4:00:27,蝴蝶,
,,,4:02:34,4:06:24,Angel,
,,,4:11:26,4:15:45,爱，很简单,
BV1v7uZzbE7b,2025-07-19,p2,40:02,43:34,五块钱的伞,
,,,50:55,54:32,第一次爱的人,
,,,58:57,1:03:05,红颜如霜,
,,,1:09:25,1:13:32,秋天不回来,
,,,1:17:41,1:22:22,醉清风,
,,,1:28:45,1:32:15,换季,
,,,1:39:11,1:43:14,化身孤岛的鲸,
,,,2:02:10,2:06:13,小手拉大手,
,,,2:11:09,2:12:14,好想你,就想一分钟
,,,2:15:32,2:19:25,我当你空气,
,,,2:22:18,2:25:51,我是一只鱼,
,,,2:39:34,2:42:47,Celebrity,
,,,2:43:37,2:46:22,You（=I）,
